lat,lon,shakeClass,eilClass,label,source
14.21043,121.47123,viii,low,LOW,eil-2014-kmz
14.21004,121.46928,viii,low,LOW,eil-2014-kmz
14.21004,121.46967,viii,low,LOW,eil-2014-kmz
14.21004,121.47006,viii,low,LOW,eil-2014-kmz
14.21004,121.47045,viii,low,LOW,eil-2014-kmz
14.21004,121.47084,viii,low,LOW,eil-2014-kmz
14.21004,121.47123,viii,low,LOW,eil-2014-kmz
14.20965,121.47045,viii,low,LOW,eil-2014-kmz
14.20965,121.47084,viii,low,LOW,eil-2014-kmz
14.20926,121.46967,viii,low,LOW,eil-2014-kmz
14.20926,121.47006,viii,low,LOW,eil-2014-kmz
14.20926,121.47045,viii,low,LOW,eil-2014-kmz
14.20926,121.47123,viii,low,LOW,eil-2014-kmz
14.20888,121.47045,viii,low,LOW,eil-2014-kmz
14.20888,121.47123,viii,low,LOW,eil-2014-kmz
14.20849,121.47123,viii,low,LOW,eil-2014-kmz
14.20810,121.47084,viii,low,LOW,eil-2014-kmz
14.20810,121.47123,viii,low,LOW,eil-2014-kmz
14.20771,121.47084,viii,moderate,MODERATE,eil-2014-kmz
14.20771,121.47123,viii,low,LOW,eil-2014-kmz
14.20732,121.46850,viii,low,LOW,eil-2014-kmz
14.20732,121.47084,viii,low,LOW,eil-2014-kmz
14.20693,121.46811,viii,moderate,MODERATE,eil-2014-kmz
14.20693,121.47006,viii,low,LOW,eil-2014-kmz
14.20693,121.47045,viii,moderate,MODERATE,eil-2014-kmz
14.20693,121.47123,viii,moderate,MODERATE,eil-2014-kmz
14.20654,121.46850,viii,low,LOW,eil-2014-kmz
14.20654,121.46889,viii,low,LOW,eil-2014-kmz
14.20654,121.46967,viii,low,LOW,eil-2014-kmz
14.20654,121.47084,viii,low,LOW,eil-2014-kmz
14.20615,121.46811,viii,moderate,MODERATE,eil-2014-kmz
14.20615,121.46850,viii,low,LOW,eil-2014-kmz
14.20615,121.46967,viii,moderate,MODERATE,eil-2014-kmz
14.20615,121.47045,viii,moderate,MODERATE,eil-2014-kmz
14.20576,121.46811,viii,low,LOW,eil-2014-kmz
14.20576,121.46889,viii,moderate,MODERATE,eil-2014-kmz
